"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
8,375,1.212093
8,390,1.179281
8,405,1.147774
8,420,1.117495
8,435,1.088377
8,450,1.060359
8,465,1.033384
8,480,1.007403
8,495,0.9823688
8,510,0.9582391
8,525,0.9349738
8,540,0.9125359
8,555,0.8908904
8,570,0.8700045
8,585,0.8498474
8,600,0.8303897
8,615,0.8116037
8,630,0.7934629
8,645,0.7759421
8,660,0.7590172
8,675,0.7426651
8,690,0.726864
8,705,0.7115926
8,720,0.6968306
8,735,0.6825587
8,750,0.6687582
8,765,0.655411
8,780,0.6425
8,795,0.6300084
8,810,0.6179203
8,825,0.6062202
8,840,0.5948935
8,855,0.5839257
8,870,0.573303
8,885,0.5630124
8,900,0.5530409
8,915,0.5433763
8,930,0.5340068
8,945,0.5249209
8,960,0.5161077
8,975,0.5075565
8,990,0.4992572
8,1005,0.4912
8,1020,0.4833754
8,1035,0.4757743
8,1050,0.468388
8,1065,0.461208
8,1080,0.4542262
8,1095,0.4474349
8,1110,0.4408264
8,1125,0.4343937
8,1140,0.4281297
8,1155,0.4220278
8,1170,0.4160816
8,1185,0.4102848
8,1200,0.4046317
8,1215,0.3991164
8,1230,0.3937335
8,1245,0.3884778
8,1260,0.3833443
8,1275,0.378328
8,1290,0.3734243
8,1305,0.3686289
8,1320,0.3639374
8,1335,0.3593457
8,1350,0.3548499
8,1365,0.3504463
8,1380,0.3461312
8,1395,0.3419012
8,1410,0.3377529
8,1425,0.3336833
8,1440,0.3296891
9,0,0
9,3,3.44245E-07
9,6,1.627294E-05
9,9,0.0001625999
9,12,0.0008606848
9,15,0.003040221
9,18,0.008153294
9,21,0.01798976
9,24,0.03439043
9,27,0.05896558
9,30,0.09288752
9,33,0.1367817
9,36,0.1907129
9,39,0.2542394
9,42,0.3265096
9,45,0.4063774
9,48,0.4925151
9,51,0.5835146
9,54,0.6779677
9,57,0.7745264
9,60,0.8719417
9,63,0.9690888
9,66,1.064978
9,69,1.158755
9,72,1.249695
9,75,1.337194
9,78,1.420759
9,81,1.49999
9,84,1.574576
9,87,1.644275
9,90,1.708912
9,93,1.768365
9,96,1.82256
9,99,1.871465
9,102,1.915086
9,105,1.95346
9,108,1.98666
9,111,2.014785
9,114,2.037963
9,117,2.05635
9,120,2.070125
9,135,2.077793
9,150,2.008898
9,165,1.900595
9,180,1.783668
9,195,1.676376
9,210,1.585553
9,225,1.511145
9,240,1.450281
9,255,1.39963
9,270,1.356361
9,285,1.318366
9,300,1.284173
9,315,1.252787
9,330,1.223543
9,345,1.195992
9,360,1.169828
9,375,1.144832
9,390,1.120846
9,405,1.09775
9,420,1.075451
9,435,1.053874
9,450,1.032957
9,465,1.012649
9,480,0.9929086
9,495,0.9736976
9,510,0.954985
9,525,0.9367433
9,540,0.9189486
9,555,0.9015799
9,570,0.8846186
9,585,0.868048
9,600,0.8518532
9,615,0.8360206
9,630,0.820538
9,645,0.8053941
9,660,0.7905784
9,675,0.7760813
9,690,0.7618939
9,705,0.7480075
9,720,0.7344144
9,735,0.7211068
9,750,0.7080777
9,765,0.6953201
9,780,0.6828274
9,795,0.6705934
9,810,0.658612
9,825,0.6468772
9,840,0.6353835
9,855,0.6241252
9,870,0.6130971
9,885,0.602294
9,900,0.5917108
9,915,0.5813426
9,930,0.5711846
9,945,0.561232
9,960,0.5514805
9,975,0.5419255
9,990,0.5325627
9,1005,0.5233878
9,1020,0.5143968
9,1035,0.5055854
9,1050,0.4969499
9,1065,0.4884863
9,1080,0.4801909
9,1095,0.47206
9,1110,0.4640898
9,1125,0.456277
9,1140,0.4486181
9,1155,0.4411096
9,1170,0.4337484
9,1185,0.426531
9,1200,0.4194545
9,1215,0.4125158
9,1230,0.4057117
9,1245,0.3990394
9,1260,0.3924959
9,1275,0.3860785
9,1290,0.3797844
9,1305,0.3736109
9,1320,0.3675554
9,1335,0.3616152
9,1350,0.355788
9,1365,0.3500712
9,1380,0.3444623
9,1395,0.3389592
9,1410,0.3335594
9,1425,0.3282608
9,1440,0.3230611
10,0,0
10,3,5.901312E-07
10,6,2.319602E-05
10,9,0.0001609019
10,12,0.0006275128
10,15,0.0018196
10,18,0.004348954
10,21,0.009023383
10,24,0.01678324
10,27,0.028613
10,30,0.04544848
10,33,0.0680951
10,36,0.0971678
10,39,0.1330558
10,42,0.175911
10,45,0.2256575
10,48,0.2820153
10,51,0.3445345
10,54,0.4126338
10,57,0.4856399
10,60,0.5628238
10,63,0.6434334
10,66,0.7267205
10,69,0.8119618
10,72,0.8984744
10,75,0.9856266
10,78,1.072844
10,81,1.159613
10,84,1.245479
10,87,1.330046
10,90,1.412975
10,93,1.493974
10,96,1.572801
10,99,1.649252
10,102,1.723163
10,105,1.794399
10,108,1.862854
10,111,1.928446
10,114,1.991114
10,117,2.050815
10,120,2.107519
10,135,2.345936
10,150,2.511124
10,165,2.609038
10,180,2.649077
10,195,2.643323
10,210,2.605105
10,225,2.547023
10,240,2.479299
10,255,2.409057
10,270,2.34054
10,285,2.275831
10,300,2.21564
10,315,2.159922
10,330,2.108289
10,345,2.060233
10,360,2.015248
10,375,1.97288
10,390,1.932739
10,405,1.894503
10,420,1.857908
10,435,1.822739
10,450,1.788821
10,465,1.756015
10,480,1.724205
10,495,1.693299
10,510,1.663219
10,525,1.633903
10,540,1.605296
10,555,1.577354
10,570,1.550041
10,585,1.523322
10,600,1.497171
10,615,1.471563
10,630,1.446477
10,645,1.421893
10,660,1.397795
10,675,1.374167
10,690,1.350994
10,705,1.328265
10,720,1.305966
10,735,1.284088
10,750,1.262619
10,765,1.241549
10,780,1.22087
10,795,1.200573
10,810,1.180648
10,825,1.161089
10,840,1.141887
10,855,1.123034
10,870,1.104525
10,885,1.086351
10,900,1.068505
10,915,1.050982
10,930,1.033775
10,945,1.016877
10,960,1.000283
10,975,0.9839857
10,990,0.9679806
10,1005,0.9522616
10,1020,0.9368231
10,1035,0.9216597
10,1050,0.9067661
10,1065,0.8921371
10,1080,0.8777677
10,1095,0.8636528
10,1110,0.8497875
