"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
62,255,1.002351
62,270,0.9825799
62,285,0.953871
62,300,0.9091007
62,315,0.8450779
62,330,0.7807468
62,345,0.7309732
62,360,0.6911836
62,375,0.6563703
62,390,0.6245639
62,405,0.5950181
62,420,0.5673641
62,435,0.5413637
62,450,0.5168395
62,465,0.4936504
62,480,0.471681
62,495,0.4508344
62,510,0.4310285
62,525,0.4121925
62,540,0.3942643
62,555,0.3771894
62,570,0.3609186
62,585,0.3454077
62,600,0.3306164
62,615,0.3165075
62,630,0.3030466
62,645,0.2902017
62,660,0.277943
62,675,0.2662422
62,690,0.255073
62,705,0.2444103
62,720,0.2342304
62,735,0.224511
62,750,0.2152305
62,765,0.2063688
62,780,0.1979066
62,795,0.1898255
62,810,0.182108
62,825,0.1747373
62,840,0.1676977
62,855,0.1609738
62,870,0.1545513
62,885,0.1484163
62,900,0.1425556
62,915,0.1369566
62,930,0.1316074
62,945,0.1264964
62,960,0.1216128
62,975,0.1169461
62,990,0.1124863
62,1005,0.1082239
62,1020,0.1041499
62,1035,0.1002556
62,1050,0.09653262
62,1065,0.09297322
62,1080,0.08956981
62,1095,0.08631521
62,1110,0.08320258
62,1125,0.08022536
62,1140,0.07737733
62,1155,0.07465252
62,1170,0.07204525
62,1185,0.06955012
62,1200,0.06716195
62,1215,0.0648758
62,1230,0.06268699
62,1245,0.06059102
62,1260,0.05858361
62,1275,0.05666069
62,1290,0.05481837
62,1305,0.05305292
62,1320,0.05136083
62,1335,0.0497387
62,1350,0.04818333
62,1365,0.04669165
62,1380,0.04526073
62,1395,0.04388779
62,1410,0.04257017
62,1425,0.04130533
62,1440,0.04009086
62,1455,0.03892446
62,1470,0.03780393
62,1485,0.03672717
62,1500,0.03569221
62,1515,0.03469713
62,1530,0.03374013
62,1545,0.03281947
62,1560,0.03193352
62,1575,0.03108071
62,1590,0.03025955
62,1605,0.0294686
62,1620,0.02870652
62,1635,0.02797202
62,1650,0.02726385
62,1665,0.02658086
62,1680,0.02592191
62,1695,0.02528596
62,1710,0.02467197
62,1725,0.02407899
62,1740,0.0235061
62,1755,0.02295242
62,1770,0.02241711
62,1785,0.02189937
62,1800,0.02139845
62,1815,0.02091363
62,1830,0.02044422
62,1845,0.01998956
62,1860,0.01954902
62,1875,0.01912202
62,1890,0.01870798
62,1905,0.01830637
62,1920,0.01791667
63,0,0
63,3,1.957392E-06
63,6,9.381694E-05
63,9,0.0006650641
63,12,0.002364361
63,15,0.005927396
63,18,0.01204821
63,21,0.02129588
63,24,0.03407159
63,27,0.05059883
63,30,0.07093563
63,33,0.09499937
63,36,0.1225946
63,39,0.1534404
63,42,0.187195
63,45,0.2234773
63,48,0.2618837
63,51,0.302002
63,54,0.3434224
63,57,0.3857465
63,60,0.4285936
63,63,0.4716055
63,66,0.5144506
63,69,0.5568258
63,72,0.5984572
63,75,0.6391016
63,78,0.678546
63,81,0.7166078
63,84,0.7531332
63,87,0.7879964
63,90,0.8210977
63,93,0.8523623
63,96,0.881738
63,99,0.9091936
63,102,0.9347164
63,105,0.9583107
63,108,0.9799954
63,111,0.9998025
63,114,1.017775
63,117,1.033964
63,120,1.04843
63,135,1.097307
63,150,1.1139
63,165,1.107047
63,180,1.083936
63,195,1.049652
63,210,1.007307
63,225,0.9586257
63,240,0.9051588
63,255,0.8495601
63,270,0.7951382
63,285,0.7440189
63,300,0.6967593
63,315,0.6532147
63,330,0.6130905
63,345,0.5760862
63,360,0.5419116
63,375,0.5102898
63,390,0.4809643
63,405,0.453703
63,420,0.4282993
63,435,0.4045723
63,450,0.3823643
63,465,0.3615388
63,480,0.3419771
63,495,0.3235763
63,510,0.3062465
63,525,0.2899087
63,540,0.2744932
63,555,0.2599377
63,570,0.2461866
63,585,0.2331893
63,600,0.2208999
63,615,0.2092765
63,630,0.1982801
63,645,0.1878751
63,660,0.178028
63,675,0.1687078
63,690,0.1598853
63,705,0.1515334
63,720,0.1436264
63,735,0.1361402
63,750,0.1290521
63,765,0.1223407
63,780,0.1159858
63,795,0.1099682
63,810,0.1042699
63,825,0.09887392
63,840,0.09376405
63,855,0.08892503
63,870,0.08434243
63,885,0.08000256
63,900,0.0758925
63,915,0.072
63,930,0.06831345
63,945,0.0648219
63,960,0.06151494
63,975,0.05838274
63,990,0.05541599
63,1005,0.05260587
63,1020,0.04994403
63,1035,0.04742257
63,1050,0.045034
63,1065,0.04277123
63,1080,0.04062757
63,1095,0.03859666
63,1110,0.0366725
63,1125,0.03484938
63,1140,0.03312192
63,1155,0.03148502
63,1170,0.02993385
63,1185,0.02846384
63,1200,0.02707066
63,1215,0.02575022
63,1230,0.02449863
63,1245,0.02331223
63,1260,0.02218755
63,1275,0.02112129
63,1290,0.02011035
63,1305,0.01915178
63,1320,0.01824279
63,1335,0.01738075
63,1350,0.01656314
63,1365,0.01578761
63,1380,0.01505193
63,1395,0.01435395
63,1410,0.01369169
63,1425,0.01306325
63,1440,0.01246682
63,1455,0.01190072
63,1470,0.01136333
63,1485,0.01085313
63,1500,0.01036868
63,1515,0.009908627
63,1530,0.009471671
63,1545,0.009056597
63,1560,0.008662243
63,1575,0.008287522
63,1590,0.007931396
63,1605,0.007592882
63,1620,0.007271061
63,1635,0.00696505
63,1650,0.006674017
63,1665,0.006397183
